artista,cancion,album,año,genero,spotify_id,popularidad
Rhye,Summer Days - Roosevelt Remix,Blood Remixed,2018,electronic,3eM70BLTVSo6SLOS3vazXp,44
Rodrigo Gallardo,El Abuelo - Los Suruba & Marcelo Burlon Remix,El Abuelo,2018,electronic,6FpXQA9yfqvf6oVnhdnLP1,40
Peces Raros,No Van a Parar,Anestesia,2018,electronic,1GLYsZMbHm72Uy2QvzdgDQ,47
Nightmares On Wax,Typical,Shape The Future,2018,electronic,7pxGYI6grdtrh3M2IGuvvE,46
Fukkk Offf,Bang Your Head - Naeleck & KATFYR Remix,Bang Your Head,2018,electronic,0HdgslFKTE3hi2lCdOf2GJ,44
Leon Vynehall,Birds On The Tarmac (Footnote III),Nothing Is Still,2018,electronic,5AdcWcvRVnQvFtJ90A2XUK,45
Monetochka,Каждый раз,Раскраски для взрослых,2018,electronic,4IjiY0sShCYUEEoOSEwsgY,55
CLUBZ,Palmeras,Destellos,2018,electronic,6yAdoDH69y3N0MicAczpVp,50
deadmau5,Monophobia,mau5ville: Level 1,2018,electronic,1mekHae3Rj2GQPM670FRJV,51
Monetochka,Нимфоманка,Раскраски для взрослых,2018,electronic,5Ni187gYCgJG90rGfMX7CY,54
Rival Consoles,Dreamer's Wake,Persona,2018,electronic,320ePMZ8X0ugeffZk0wNzY,44
CA7RIEL,No Aterrizó,LIVRE,2018,electronic,78NAaYSf1p0iDhzVPae9dR,39
Traf,Dissociative,Dissociative,2018,electronic,4oNnLEVCRyD3Into7UwOKy,44
Lucky Luke,Drüg,Drüg,2018,electronic,5Q5TNh4wr6CPoXKrI2H6gx,47
Adam Beyer,Your Mind - Radio Edit,Your Mind (Radio Edit),2018,electronic,55w4mBcYYdPHV26kCC6CqO,38
Herobust,Move Mint - VIP,Vertebreaker (Remixes),2018,electronic,5RRpWmpLVnZPukWYaedmsa,40
Thievery Corporation,Voyage Libre,Treasures From The Temple,2018,electronic,1FOnlQtwGRGJx0p2lZxWZ0,41
Rhye,Waste - RY X Remix,Blood Remixed,2018,electronic,08HR9PoLSeovgXWvJEZrvi,43
Rubio,Hacia el Fondo,Pez,2018,electronic,1TmhcMiKugkz7bfryEJGR3,40
Poshlaya Molly,ПОРНХАБ КРИСМАС КЛАБ,"ОЧЕНЬ СТРАШНАЯ МОЛЛИ 3, Ч. 1",2018,electronic,5jgFvROeP9DlLl9dMHQEtw,57
Rhye,Softly - Mahogany Sessions,Softly / Please (Mahogany Sessions),2018,electronic,3TRleR2FHWPDWHKQf9P66X,30
Kermesse,Sunday Glide,Kermesse,2018,electronic,72Qac2FQd9e21XCibSOhfY,42
Babasonicos,Ingrediente,Discutible,2018,electronic,6M6aCePRkHqmQsUGa6BegN,49
Max Cooper,Lovesong,One Hundred Billion Sparks,2018,electronic,4DXwafDnkO9OakL5Q6y8o2,42
Rhye,Hymn,Hymn,2018,electronic,0jsFjONniYrNw6wD9e9bgs,46
Las Ketchup,Aserejé (2018 Radio Mix),Aserejé (2018 Radio Mix),2018,electronic,3ZT9yfaYbpPbFFfYUJjVI8,38
CLUBZ,Nagano,Destellos,2018,electronic,5qTnlwbe18VRvDJQYAreGW,48
Andrew Meller,Godfather’s Dance,Godfather's Dance,2018,electronic,5gtnqo6ustcevImEhYYwAn,36
Martin Jensen,Somebody I'm Not,Somebody I'm Not,2018,electronic,60dLzTKOP5Q37wThC9VVjB,41
Jody Wisternoff,The Bridge - Chicane Rework,Sun:Sets 2018 (Selected by Chicane),2018,electronic,23S3VBhXxJBGYs8MCzygpb,42
Guy Gerber,What To Do,What to Do EP,2018,electronic,0dWmUCTIBA6UOVjCWtbodc,40
Vigiland,Be Your Friend‬‬,Be Your Friend,2018,electronic,2mSIu1ZPo22Ihx3EwS4E6h,47
Rhye,Stay Safe,Blood,2018,electronic,2s4z1J7yMhMYtSLgRxzQwq,44
Poshlaya Molly,Райские цветы,Грустная девчонка с глазами как у собаки,2018,electronic,1DSCMhnFgL4BVI6D8fJJ8a,56
MD DJ,X-Mas Time,X-Mas Time,2018,electronic,7BSX1hn9fPstxt5lz6QCMV,41
Satori,Yam,Yam,2018,electronic,4vPinL4Ov4ZX2THDVCNkX0,40
Jean-Michel Jarre,Souvenir de Chine,Planet Jarre (Deluxe-Version),2018,electronic,6K5FhSqMfTMI0el4Nu8Sq0,33
CA7RIEL,Vibra Alta,LIVRE,2018,electronic,2qC12kW3NC8wN7Xhhpi370,38
Peter Cat Recording Co.,Portrait of a Time,Portrait of a Time: 2010-2016,2018,electronic,0tpaTQ94O5G2lEhv9CuEFb,43
Paul Marmota,Mercurio,Zona,2018,electronic,4urS8frKH9Qsf16aEXsmRE,19
Paul Kalkbrenner,Part Eleven,Parts of Life,2018,electronic,6MI7XPygeiQlQ4lN9I2b5X,38
Ash,Daydream,Daydream,2018,electronic,3MMORRC7FoTjlKNrI6hvgU,45
ZABO,Breathe,Breathe,2018,electronic,1ME8Thb5mDmBYTI3I5f3uJ,44
Against All Logic,Now U Got Me Hooked,2012 - 2017,2018,electronic,3BPL6mtTSsXI3Yk4kBX6Yh,43
Poshlaya Molly,Все хотят меня поцеловать,Грустная девчонка с глазами как у собаки,2018,electronic,0rqe1Pt1EGu0VDAqPupREU,55
Dwin,Sweet Dreams,Sweet Dreams,2018,electronic,24J3dVpDXHznrOCZBGvHut,45
Be Svendsen,Andromeda,Between a Smile and a Tear,2018,electronic,4pKcy4dZzal1PTAOBGWr8N,41
DJ KRUSH,Kemuri,The Man From Mo’ Wax (Original Motion Picture Soundtrack),2018,electronic,2mxTWNaUEHwdedwdS9KYcW,39
Rodrigo Gallardo,El Abuelo,El Abuelo,2018,electronic,1cmjjbzi9Hqe6IgHbB7gBp,38
Bob Moses,Enough to Believe,Battle Lines,2018,electronic,0fDf7Fo4Lb6DA1mmKibSNc,43
Lucky Luke,Wonderwall,Wonderwall,2018,electronic,3xJEu7OdZcjeX8iX3pvODL,43
CLUBZ,Popscuro,Destellos,2018,electronic,3N0lemfma0XQAlkueBbwev,49
Bob Moses,Battle Lines,Battle Lines,2018,electronic,0ErpngN7msRMzOybuOj4X6,34
Rhye,Phoenix,Blood,2018,electronic,66ESAYFSvXY16Lo97CtwU2,39
Fatboy Slim,"Right Here, Right Now - Friction & Killer Hertz Remix","Right Here, Right Now (Friction & Killer Hertz Remix)",2018,electronic,0JIzCPy8H7PJYHVIW4N6zd,35
Jugurtha,Sophonisbe - Sahale Remix,Sophonisbe,2018,electronic,44288Pd23qyQs0FyCqti8L,39
Rhye,Count To Five - Tensnake Remix,Blood Remixed,2018,electronic,3ASNOiJ3mAsY6wQ57liJQd,39
Paul Kalkbrenner,Part Six,Part Six,2018,electronic,4mz5sOi3htRQVIz5V067OH,35
TroyBoi,Say Yeah,"V!BEZ, Vol. 2",2018,electronic,7vBqDxT6CcJhnOCRfM9Wvi,45
WhoMadeWho,Neighbourhood,Through the Walls,2018,electronic,1KXQGi1hQcrRd3jA0LSMUh,38
Califato ¾,Açeitunitâ Negrâ,L'ambôccá,2018,electronic,1gceAYS75G8joXiKZpPqYs,16
Paul Kalkbrenner,Part One,Parts of Life,2018,electronic,2B5Y0umaS372GZsQf2Q601,36
Little Dragon,Lover Chanting - Edit,Lover Chanting (Jayda G Remix),2018,electronic,3ceihRUljV1eSM1plIjsB6,42
Babasonicos,La Pregunta,Discutible,2018,electronic,4PxOR5geaJtZFe4Q3I115t,46
Manybeat,Mamasota,Mamasota,2018,electronic,2jvx5oEiwOEiTP03OpkCuF,30
George FitzGerald,Passing Trains,All That Must Be,2018,electronic,01oZjrRICAL5l0sSFqpb5D,39
Gaullin,All the Things,All the Things,2018,electronic,0OsAQfkwbPwT0Jv7g3oTqh,46
Ash,Big in Japan,Big in Japan,2018,electronic,49uuX76cJwR4lrUFnDJTZV,44
Tiga,Sunglasses at Night,Sunglasses at Night,2018,electronic,6nOYKhskIZXcfdFe8eVmOi,36
Against All Logic,Cityfade,2012 - 2017,2018,electronic,3ClchMcD2JCnSfCL6xum9Y,41
Tiga,"Sunglasses at Night - 12"" Version",Sunglasses at Night,2018,electronic,1d2jOoKeBeFcnNGpqTOveU,34
Satori,Bad Looking Trouble - Hraach Remix,"Ibiza Sunset Dreams, Vol. 4 (Compiled by DJ Zappi)",2018,electronic,23ekqA205lswbljhT5XxwH,38
Mark Alow,White Tusk - Original,Golden Tiger,2018,electronic,5MNG30HnVmfLYxkKe5n1Zn,35
Rubio,Seres Invisibles,Pez,2018,electronic,13jnICeB4esdhHZDvSatNm,35
DJ Dark,Ederlezi (feat. Dikanda),Ederlezi (feat. Dikanda),2018,electronic,1LdmFlLhYJiW7BlE7PzGfR,40
JOYRYDE,AGEN WIDA,AGEN WIDA,2018,electronic,35V6qXUDCvwZdmbKe5PlPG,43
Adam Beyer,Space Date,Space Date,2018,electronic,1jghh4YdUcRLDEbda84AxM,30
Novalima,Macaco - Novalima Remix,Karimba,2018,electronic,7GZY4oiuoXyhW7e0n02tXG,28
Fukkk Offf,Pacific Coast Highway,Pacific Coast Highway,2018,electronic,34nixLtq739l1cY1eGCSW0,40
Kink,Leko - Session Victim Remix,Leko Remixes,2018,electronic,18nGprzEucUO4FF768lLhe,36
Nicolas Godin,Marie Jo,Au service de la France,2018,electronic,0hj6LlttTZizCt3hbMC2cB,37
Forest Swords,Crow (DJ-Kicks) - Mixed,DJ-Kicks (Forest Swords) [DJ Mix],2018,electronic,4s5zfEwFuufmA9KLDHF8ft,40
Krystal Klear,Neutron Dance,The Division,2018,electronic,2dxiLe0Pq6pG058eYMbrn7,40
Poshlaya Molly,Буду твоим пёсиком,Грустная девчонка с глазами как у собаки,2018,electronic,3peGvpKhK1lBmvk8WdY8N5,53
Paul Kalkbrenner,Part Ten,Parts of Life,2018,electronic,0xvlFJilJpOBRySCwtSlnU,35
Morcheeba,Find Another Way,Blaze Away,2018,electronic,1CikWxgqAiJgY2aQEGn8C4,33
Goldfrapp,Ocean,Silver Eye: Deluxe Edition,2018,electronic,0J6IuDbT6oAhbfhw381zmz,34
Kerala Dust,Maria,Francesca's Frames EP,2018,electronic,2vOfifh09XV8vAEj0dffVW,39
Baauer,3AM,3AM,2018,electronic,1Xy3l3q7GuHQ2N1QEuRYTt,47
Lucky Luke,Make Ü Mine,Make Ü Mine,2018,electronic,7DTci0p38WIDN96bd5LUZZ,38
Novalima,Bandolero,Afro,2018,electronic,3pZ7P4OtLKFluIWakhmvE1,29
Dirty Doering,If I Could I Would,Euch die Uhren uns die Zeit,2018,electronic,1x20Z90kzwAdj5iyFxwW9w,38
CLUBZ,Áfrika,Destellos,2018,electronic,5cY6iwmzNfroYMCuLOlJio,45
Boombox Cartel,Moon Love,Moon Love,2018,electronic,5LCaw96SsbpHAQFAcbFwbI,42
Rhye,Please,Blood,2018,electronic,4yXVtcNiaFUVDK8nno5ZWm,37
Pional,Tempest,Miracle / Tempest,2018,electronic,3NI5LmmAZ8khMBn2JBQeUO,32
Thievery Corporation,La Force de Melodie,Treasures From The Temple,2018,electronic,47BLkP6NITosyh2tcJ5mVV,37
Sahalé,Magharibi - Satori Remix,Yam,2018,electronic,3hVnNyWrnjfVLMBMVP5Bic,38
Rhye,Softly,Blood,2018,electronic,1U2YcRtLZ4mdrvcO6qaTKR,34
Paul Kalkbrenner,Part Fourteen,Parts of Life,2018,electronic,76Rjs9JHIRY6HdCQ8r87Jz,35
Jean-Michel Jarre,Arpegiateur,Planet Jarre (Deluxe-Version),2018,electronic,01BaOczvalXvzoTjp6xSnd,31
UMEK,Amnesiac,Amnesiac,2018,electronic,6Jc2JwG3x88HT9UZAbLSJd,35
Andrew Meller,Body & Soul - Radio Edit,Body & Soul,2018,electronic,0wLjxFEYCnS6dHJ7SObwDU,31
Shkoon,Napauken - Jpattersson Remix,Zehna,2018,electronic,2vPP6FNAzYoo2pplHp7Vop,40
Against All Logic,This Old House Is All I Have,2012 - 2017,2018,electronic,4uBNhssvTuBP3JzUEgfln6,41
Guy Gerber,What To Do - (Mixed),Global Underground: Adapt #2 (Mixed),2018,electronic,3b8EAvwU10M3FLaTOTwV7R,37
DjRUM,Unblocked,Portrait with Firewood,2018,electronic,7ijN9YMVkJ3QWte6p7JoVq,38
Lookas,Alarm - WE ARE FURY Remix,Lucid (The Remixes),2018,electronic,4ZbQvhuML79GPnoxloXE0j,36
Joep Mencke,Trust The Wild,"The Feathers' Eyes, Vol. 1",2018,electronic,2TzddWEjBQjYuFgceeQhxi,38
Kermesse,Le Fleur,Kermesse,2018,electronic,3a0bjBQ1AovuBcalR4GhYY,36
Jean-Michel Jarre,Coachella Opening,Planet Jarre (Deluxe-Version),2018,electronic,60IAA0HEs6i7OMf59jug3I,31
Soft Blade,Zerkalo,Zerkalo,2018,electronic,4BMJxzyJp82AknBSFGhTW7,45
Satori,Fauna,Yam,2018,electronic,349HUfae4p6KJ5aFAUfP1L,35
Rival Consoles,Untravel,Persona,2018,electronic,39tUHDzQ5nlGPtYaA71Y9v,36
Jon Hopkins,Emerald Rush,Singularity,2018,electronic,5S3F5GL8LASIjPg2PMiU1Q,39
RL Grime,I Wanna Know,NOVA,2018,electronic,5NYiAtgAFWCwEpfSZOHFA7,54
Stavroz,It Was All a Ruse,Kasambila,2018,electronic,0KWXCP6V9hXfyqbWN2wvZ8,37
Justice,Pleasure x Newjack x Civilization (WWW),Woman Worldwide,2018,electronic,4qjaG01IhHt3ZdO1FVakbs,39
CA7RIEL,Para la Forever,LIVRE,2018,electronic,2A0AJfC9Pjfyp6WXUWVjQf,34
Peces Raros,Girando en Falso,Anestesia,2018,electronic,6phjH1prCWCcKAYiRONHJx,41
Maribou State,Slow Heat,Kingdoms In Colour,2018,electronic,570ETApQMCYLqOojX4ISiN,42
Jean-Michel Jarre,THE OPENING (movement 8),Equinoxe Infinity,2018,electronic,24CyE6SLG5VS3MoEcRKbmY,31
Califato ¾,Ar-Xapâh,L'ambôccá,2018,electronic,5tCQjt95xBglluuWQu80Ya,14
Tebra,Suton,Suton,2018,electronic,6eq7V6zHwnHlRvjbWVA5nJ,39
Jean-Michel Jarre,"Rendez-Vous II, Pt. 4",Planet Jarre (Deluxe-Version),2018,electronic,6qcYZ3QONKpKsHEPHtVqRh,29
DJ Snake,Let's Get Ill,Let's Get Ill,2018,electronic,3J5AcWRzmgbq4svZt91l3e,40
Rasi Z,Zamin,Buddha Bar XX,2018,electronic,6qPudIy1L0Ud5B0RixPZgU,38
Paul Kalkbrenner,Part Twelve,Parts of Life,2018,electronic,3EK6bvuN2elGa6lYmdmYf6,34
Pejzaż,Uważaj Jak Tańczysz,Ostatni Dzień Lata,2018,electronic,23Nk2Wu1FRdVrRoklXZtCA,40
Poshlaya Molly,Типичная вечеринка с бассейном,Грустная девчонка с глазами как у собаки,2018,electronic,1ndGHWAEXWz9jVr5bAgCrU,51
islandman,Khepre,Heimlich III,2018,electronic,4oDj9KjjAHfKIlERxoUu1f,37
Gaullin,Op Opa,Op Opa,2018,electronic,5ZDv6cSFtX1j0ZvULDCAGV,42
Rapossa,Oriental Tales,Shanti,2018,electronic,1ljBBK6uIhjuxmL7etHP39,38
Leon Vynehall,Envelopes (Chapter VI) - Edit,Envelopes,2018,electronic,3JDsYB8UxGbMQNnNlAeDL0,38
ZOYA,In My Mind - Anagramma Remix,In My mind: The Remixes,2018,electronic,6RVPKIzyWww58McfYwk0JV,34
Rhye,Count To Five,Blood,2018,electronic,6Rp8ptCpxsdmC3O4LSsJZg,35
Fatboy Slim,Praise You (Purple Disco Machine Extended Remix),Praise You (Purple Disco Machine Remix),2018,electronic,0ZJgePC21TJkw5p2jUA8iC,33
Rhye,Waste,Blood,2018,electronic,4bSr1hSKGJzglijKfIrcvo,35
Kölsch,HAL,HAL,2018,electronic,0ZY9kPt23t9OVMLyybvKCj,36
Dian Solo,Cocaine - Radio Edit,Cocaine,2018,electronic,5rvue7qdTYOYpwOWRare9i,36
Valentino Khan,Lick It,Lick It,2018,electronic,2AUHVjR5lhg6GcztbGvRkc,39
Matanza,Heidi,Matanza,2018,electronic,5ZPCVH9Jy65G0jw4xjkuO0,33
Spartaque,Who You Are - Edit,In the Shade (Edits),2018,electronic,4CQTHh9mXYzIXTWKKApetQ,32
Shkoon,Lala,Lala,2018,electronic,5FJiSLoCEAV9fkX4oZd2ou,41
Fatboy Slim,Gangster Trippin - Sultan + Shepard Remix,Gangster Trippin (Sultan + Shepard Remix),2018,electronic,19VVmenPRBEdWwg0Vp2lKh,35
Kermesse,Camomille,Dub kantine EP,2018,electronic,4AyHuAzcc1wlVV3kuLb5uM,36
Dean Blunt,SOMALIA PARK,Soul On Fire,2018,electronic,1dAD3L0H2pOGkpYFRup5Ab,45
Jean-Michel Jarre,FLYING TOTEMS (movement 2),Equinoxe Infinity,2018,electronic,05M6zX62Q2k2u7W6NuxLTR,28
Apparat,"Goodbye - Theme from Dark, a Netflix Original Series","Goodbye (Theme from Dark, a Netflix Original Series)",2018,electronic,6qMcBfQ3Dy3Cn6q27tcQDR,36
Paul Kalkbrenner,Part Eight,Part Eight,2018,electronic,2yAOaUhMCX7irO3N1ygHs4,32
Maribou State,Turnmills,Kingdoms In Colour,2018,electronic,5m4o1robU6yTvFDXXSrH0F,40
Morcheeba,Blaze Away,Blaze Away,2018,electronic,4QRdgb658a1ILXogewjAi8,32
DjRUM,Blood in My Mouth,Portrait with Firewood,2018,electronic,2j99yeFnWhjKquM4ACAD74,34
Butch,Countach - Original,Countach,2018,electronic,4yjoFroiLO7KpM2CDUH2ie,29
Jeremy Vancaulart,Hurt,Hurt,2018,electronic,13ZVANTwv0ANny7vTMGcji,34
George FitzGerald,Burns,All That Must Be,2018,electronic,2DeV4SryfbbEM1YgedzKP4,39
Lucky Luke,Keke,Keke,2018,electronic,6JIy6CxXoxH2nt3hZozxql,36
Moby,Mere Anarchy - Edit,Mere Anarchy,2018,electronic,5tQhscGYHfrdCPKB73hYAI,23
Maribou State,Turnmills - Edit,Kingdoms In Colour,2018,electronic,3HzSuE22PGsbPstPLv44M7,39
Monetochka,Ночной ларёк,Раскраски для взрослых,2018,electronic,3nTUFj1o2hkgaWQ0AWYfQc,45
CLUBZ,Templos,Destellos,2018,electronic,5BRBuj8WoTqSqCvIfEkzYx,39
Jean-Michel Jarre,ROBOTS DON'T CRY (movement 3),Equinoxe Infinity,2018,electronic,7vQqaXVfyEk7AJvV6PUpss,29
Martin Jensen,Somebody I'm Not - Cahill Edit,Somebody I'm Not,2018,electronic,29kQS8jVf08MEp6vFCF8Ot,30
Bob Moses,Heaven Only Knows,Battle Lines,2018,electronic,4pjP1IGE3JC0jDvgPkHHcg,37
Ash,Keep Me,Keep Me,2018,electronic,5McDChwXMGO5SvOrACiBHO,40
Acid Pauli,Jorge - Satori Remix,Bld Remixes B,2018,electronic,769LjA468VL4j2g4WI48Oe,34
Anchorsong,Ancestors,Cohesion,2018,electronic,5UoN1ldp7kLaPzCSpo3ufA,33
Be Svendsen,Day 3,Between a Smile and a Tear,2018,electronic,5fSFt5Z9vlUG09LaHtQX6J,35
Flosstradamus,2 MUCH (feat. 24hrs),2 MUCH (feat. 24hrs),2018,electronic,5YRmvwA6P4fABxRhc61iH9,42
LOUTA,PUEDE SER,ENCHASTRE,2018,electronic,71bO0OsW7odKFhbjrHwM8C,37
Milk & Sugar,Let the Sun Shine - Milk & Sugar Edit,Let the Sun Shine (Milk & Sugar Edit) [Milk & Sugar Remix],2018,electronic,4XxcnzCAR91UI5LknaHURL,29
Egosex,Fever (Last Night in Paris),Fever (Last Night in Paris),2018,electronic,5uTmUcJL5kLCatUIW5AfDe,17
DjRUM,"Creature, Pt. 1",Portrait with Firewood,2018,electronic,38KFHXttkrIpnUd0tTvkZj,35
islandman,Anadolu,VAUS 2 - Random Colletive Records,2018,electronic,7ycECdNw14nleTOSS8nEaG,35
Mark Alow,Quasar,Nebula EP,2018,electronic,2GfgaTAmEmtQTzpCbHOIs1,33
Maribou State,Part Time Glory,Kingdoms In Colour,2018,electronic,5O8jA5esx67O3FoqKwBjQV,39
Paul Kalkbrenner,Part Eight,Parts of Life,2018,electronic,5SYF5CsnX8cVKVTzdemUgD,30
Charlotte Adigéry,Paténipat,Paténipat,2018,electronic,0STU4tz5QWwA46G8QkvtK1,36
Kora (CA),Kanjira,Nous / Kanjira,2018,electronic,3ajiQwDHMWEVxZKXWPZtNg,35
WhoMadeWho,Dynasty,Through the Walls,2018,electronic,1UglHGkDf43W58XZKdnqbE,32
islandman,Rest In Space,Rest in Space,2018,electronic,1VQnRQwgoO2HldXOAsIf2v,33
Paul Kalkbrenner,Part Three,Parts of Life,2018,electronic,4u6bp7tS5NnJOj16FNAsNi,32
Justice,Genesis x Phantom (WWW),Woman Worldwide,2018,electronic,7GTZa1773faSYybRdGDIjk,37
Kerala Dust,Maria,Maria,2018,electronic,3e8hBpyRJ7zYm35JUjTCwJ,34
Peter Cat Recording Co.,Love Demons,Portrait of a Time: 2010-2016,2018,electronic,3wgx6kB0t5yTPcB7UP3p9b,37
Pensees,Your Lips - Original Mix,Your Lips,2018,electronic,3ByKecIVNswbnmOMCTXPt6,35
George FitzGerald,Roll Back,All That Must Be,2018,electronic,0smkE9zt2Bg7fFk0HlzR4C,38
San Holo,lift me from the ground,album1,2018,electronic,7kZVirTc3V6d4YWtu6RaAu,48
Mick Gordon,Reich Between the Eyes,Wolfenstein II: The New Colossus (Original Game Soundtrack),2018,electronic,2T15NZyQUjmH04GqM0ahyy,37
DVBBS,IDWK,IDWK,2018,electronic,4ABdTWafMCXfATpILRuZFW,43
Rodrigo Gallardo,El Abuelo - Dandara Remix,El Abuelo,2018,electronic,49NKccHKnVnLSDa4J4yNTn,29
Zuma Dionys,As Time Goes By,Yuddhapot,2018,electronic,4e9UIKY0dESrEdVGlxeVRW,35
